type,name,label,required,appearance,media::image,relevant,calculation
start,start,,,,,,
end,end,,,,,,
begin_group,group_jf1xw58,,false,field-list,,,
note,logo, ,false,,sivio_logo.jpg,,
note,This_is_a_digital_su_ute_in_February_2020,This is a digital survey tool for tracking the performance of municipal services in Zimbabwe during the COVID Lockdown period. It was developed by the SIVIO Institute in February 2020.,false,,,,
end_group,,,,,,,
begin_group,group_yq3ut35,,false,field-list,,,
integer,House_Number_OPTIONAL,House Number (OPTIONAL),false,,,,
text,Street_Name,Street Name,false,,,,
text,Township_Suburb_Name,Township/Suburb Name,true,,,,
integer,Ward_Number,Ward Number,true,,,,
integer,Ecocash_Number,Ecocash Number,true,,,,
text,Name_on_Ecocash_Number,Name on Ecocash Number,false,,,,
end_group,,,,,,,
begin_group,group_demographics,Demographics,false,field-list,,,
select_one cv2tj43,_1_Gender,1. Gender,true,,,,
select_one hi6qc68,_2_City,2. City,true,minimal,,,
select_one qw9cz95,_2_Age,3. Age,true,,,,
select_one qo5rw42,_3_Highest_level_of_education,4. Highest level of education,true,,,,
select_one ih6wa90,_4_Employment_status,5. Employment status,true,,,,
select_one zw8jo84,_5_Are_you_the_head_of_the_hou,6. Are you the head of the household?,true,,,,
integer,_6_a_How_many_peop_ve_in_your_household,6. (a) How many people live in your household?,true,,,,
select_one hr9qe89,_5_a_If_NO_Gender_of_head_of_household,6. (b) If NO: Gender of head of household,false,,,${_5_Are_you_the_head_of_the_hou} = 'no',
select_one nt6ss59,_6_Do_you_own_the_ho_se_you_are_living_in,7. Do you own the house you are living in?,true,,,,
select_one ss14k70,_7_Do_you_belong_to_sident_s_association,8. Do you belong to a resident’s association?,true,,,,
end_group,,,,,,,
begin_group,group_rv94r85,Water Services Delivery Survey,false,field-list,,,
select_one fo5oq05,_9_a_Source_of_Water,11. What was your main source of water in September 2020?,true,,,,
text,If_OTHER_please_describe,"If OTHER, please describe",false,,,${_9_a_Source_of_Water} = 'other__please_describe',
select_one do0id98,_11_Did_Provision_of_eek_was_it_available,"11. Did Provision of municipality water increase in September 2020, if so,  how many days a week was it available?",false,,,,
select_multiple po5ik10,_12_On_which_days_do_get_municipal_water,12. On which days do you usually get municipal water?,true,,,,
select_one xh5pw13,_12_Do_you_drink_mun_ut_further_treatment,13. Do you drink municipal water without further treatment?,true,,,,
text,_13_a_Do_you_know_o_how_is_it_treated,"13. (a) Do you know how to treat municipal water? If so, how is it treated?",true,,,${_12_Do_you_drink_mun_ut_further_treatment} = 'yes' or ${_12_Do_you_drink_mun_ut_further_treatment} = 'sometimes',
select_one ko8rp38,_13_Do_you_know_the_g_water_to_your_area,14. Did the city communicate the schedule for delivering water in your area in September 2020?,true,,,,
select_one xt4zf15,_14_Does_the_city_follow_this_schedule,15. Did the city follow this schedule for delivering water in September 2020?,true,,,${_13_Do_you_know_the_g_water_to_your_area} = 'yes',
select_one cm2dl06,_15_Does_the_city_communicate_,16. Did the city communicate changes to the schedule in September 2020?,true,,,${_13_Do_you_know_the_g_water_to_your_area} = 'yes',
